Directory Name:
data/Young healthy volunteer_0[00-38].obj

Number of beutels: 38

Version: v-080323

Details: Indexed curvature calculated using total volumes

Beutel, Total Volume, Total Surface Area, Total Curvature, Total Indexed Curvature, Volume Inflow Tract, Volume Outflow Tract, Volume Septal Body, Volume Free-wall Body, Volume Septal Apex, Volume Free-wal Apex, Surface Area Inflow Tract, Surface Area Outflow Tract, Surface Area Septal Body, Surface Area Free-wall Body, Surface Area Septal Apex, Surface Area Free-wal Apex,Curvature Inflow Tract, Curvature Outflow Tract, Curvature Septal Body, Curvature Free-wall Body, Curvature Septal Apex, Curvature Free-wal Apex, Minimum Curvature, Maximum Curvature
28, 128.454575 , 16336.156250, 0.031580, 0.988484,  21.130279, 25.233777, 18.020454, 49.917865, 6.140805, 7.377710, 2687.234384, 3209.095036, 2291.743655, 6348.283520, 780.954261, 938.257149, 0.968701, 0.685126,-0.019556, 1.134900, 2.859119, 1.885670, -2.14890, 6.96799
29, 128.198090 , 16319.641602, 0.031646, 0.989897,  21.079545, 25.195540, 17.950431, 49.864262, 6.122185, 7.354944, 2683.430258, 3207.397225, 2285.093355, 6347.730465, 779.355342, 936.285869, 0.968546, 0.687584,-0.021529, 1.136242, 2.867273, 1.888061, -2.13697, 6.98166
30, 127.929520 , 16307.842773, 0.031696, 0.990746,  21.029777, 25.153447, 17.889157, 49.787182, 6.110817, 7.330176, 2680.775236, 3206.440903, 2280.424033, 6346.631390, 778.977664, 934.415761, 0.969808, 0.688654,-0.024578, 1.137772, 2.868585, 1.889536, -2.12635, 6.98994
31, 127.594795 , 16288.480469, 0.031692, 0.989764,  20.984128, 25.101971, 17.836353, 49.634561, 6.110598, 7.299880, 2678.789115, 3204.464128, 2276.950755, 6336.242275, 780.065856, 931.887189, 0.963983, 0.689116,-0.026411, 1.138653, 2.864785, 1.890622, -2.11877, 6.99123
32, 127.217941 , 16268.905273, 0.031714, 0.989484,  20.938986, 25.040153, 17.792233, 49.442393, 6.115809, 7.262499, 2677.722865, 3202.188937, 2275.309246, 6322.800093, 782.102817, 928.744051, 0.962690, 0.690048,-0.028406, 1.139416, 2.856161, 1.892921, -2.11173, 6.99046
33, 127.888588 , 16320.349609, 0.031699, 0.990732,  20.987990, 25.142976, 17.902504, 49.765604, 6.164982, 7.295066, 2678.357428, 3208.590984, 2284.606841, 6350.778390, 786.736804, 930.951137, 0.962372, 0.693942,-0.027288, 1.140659, 2.849231, 1.894788, -2.10122, 6.98890
34, 131.552063 , 16603.015625, 0.031610, 0.997298,  21.324731, 25.697769, 18.503414, 51.537128, 6.343189, 7.498811, 2691.366513, 3243.281956, 2335.291759, 6504.433821, 800.565673, 946.415210, 0.963485, 0.706841,-0.024090, 1.146829, 2.853054, 1.900699, -2.07728, 7.00647
35, 139.082245 , 17207.982422, 0.031442, 1.010568,  21.980498, 26.824511, 19.727601, 55.256188, 6.695412, 7.915842, 2719.541963, 3318.868581, 2440.801850, 6836.584229, 828.391344, 979.389322, 0.968931, 0.728949,-0.022908, 1.161055, 2.869119, 1.912542, -2.03948, 7.06731
36, 147.714355 , 17863.943359, 0.031462, 1.031719,  22.666909, 28.123948, 21.092721, 59.617935, 7.107268, 8.383206, 2741.239179, 3401.190062, 2550.863548, 7209.938322, 859.522653, 1013.829122, 0.997812, 0.760892,-0.020025, 1.177124, 2.886189, 1.927187, -1.97212, 7.13442
37, 152.458603 , 18224.386719, 0.031401, 1.040619,  23.013125, 28.847692, 21.759277, 62.141110, 7.322111, 8.632070, 2750.911171, 3448.355650, 2601.030470, 7428.138321, 875.260445, 1031.848478, 0.999737, 0.776094,-0.021036, 1.187291, 2.900859, 1.935004, -1.94881, 7.17890
38, 150.922302 , 18149.470703, 0.031480, 1.039728,  22.851898, 28.607073, 21.523474, 61.436956, 7.232596, 8.536830, 2748.101690, 3440.202007, 2588.349336, 7388.226580, 869.770554, 1026.613896, 1.001133, 0.772044,-0.029867, 1.188849, 2.906681, 1.935808, -1.94688, 7.19235
